run_id,config_name,total_ram_mb,cpu_cores,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,num_layers,hidden_units,gamma,strength,time_horizon,summary_freq,keep_checkpoints,max_steps,cpu_avg_unity,cpu_peak_unity,ram_avg_unity,ram_peak_unity,cpu_avg_python,cpu_peak_python,ram_avg_python,ram_peak_python,duration_sec
run_1766746915,sample_16284.yaml,11700.625,6,374,13291,0.0003,0.01,0.3,0.99,2,2,458,0.999,0.5,81,1687,5,50000,25.663829787234057,93.8,160.29442320478722,168.20703125,273.6659574468086,303.1,537.887383643617,558.9296875,46.63437366485596
run_1766746993,sample_16285.yaml,11700.625,6,809,13996,0.0003,0.01,0.3,0.99,7,3,362,0.999,0.5,29,4791,5,50000,17.17876712328769,59.9,154.48408069349315,162.65234375,264.8075342465755,303.3,557.7334920804794,576.92578125,72.69011807441711
run_1766747055,sample_16286.yaml,11700.625,6,271,4822,0.0003,0.01,0.3,0.99,4,3,388,0.999,0.5,95,3971,5,50000,18.958260869565237,59.9,158.59935461956522,160.7578125,287.7313043478264,301.5,518.7104959239131,529.55078125,57.142662525177
run_1766747117,sample_16287.yaml,11700.625,6,357,15306,0.0003,0.01,0.3,0.99,6,3,134,0.999,0.5,74,3432,5,50000,19.425217391304365,49.9,159.28542798913043,166.1484375,258.968695652174,301.4,529.7204144021739,545.17578125,57.135095834732056
run_1766747162,sample_16288.yaml,11700.625,6,366,13529,0.0003,0.01,0.3,0.99,3,1,362,0.999,0.5,113,951,5,50000,26.08888888888891,61.8,158.19883294753086,163.92578125,270.8802469135802,303.2,523.73046875,540.5625,40.1094069480896
run_1766747224,sample_16289.yaml,11700.625,6,806,3009,0.0003,0.01,0.3,0.99,8,1,473,0.999,0.5,57,1942,5,50000,19.079646017699126,69.8,157.5579715154867,161.26171875,290.2787610619469,303.4,513.1954507743363,527.84375,56.1435968875885
run_1766747274,sample_16290.yaml,11700.625,6,522,2774,0.0003,0.01,0.3,0.99,4,1,444,0.999,0.5,30,3119,5,50000,23.691208791208812,41.8,154.69977678571428,163.9609375,289.3153846153846,302.7,497.38508756868134,508.64453125,45.113407373428345
run_1766747358,sample_16291.yaml,11700.625,6,119,6954,0.0003,0.01,0.3,0.99,5,3,421,0.999,0.5,123,1802,5,50000,14.844375000000014,73.8,155.57421875,157.3359375,283.9175000000004,302.7,523.4528076171875,535.66015625,79.70753240585327
run_1766747413,sample_16292.yaml,11700.625,6,541,10224,0.0003,0.01,0.3,0.99,4,3,265,0.999,0.5,97,896,5,50000,21.748514851485165,51.9,153.3640547648515,163.8046875,270.60297029702974,301.6,532.375270730198,552.8984375,50.123669147491455
run_1766747472,sample_16293.yaml,11700.625,6,710,13351,0.0003,0.01,0.3,0.99,5,3,326,0.999,0.5,39,710,5,50000,19.922018348623872,57.9,158.9464951261468,161.1953125,270.38715596330286,301.6,545.6776806192661,564.87109375,54.13162803649902
run_1766747548,sample_16294.yaml,11700.625,6,248,15630,0.0003,0.01,0.3,0.99,10,3,71,0.999,0.5,100,3935,5,50000,14.961538461538474,43.9,154.6257921765734,157.375,253.12937062937058,301.4,528.7115384615385,548.3828125,71.19052076339722
run_1766747624,sample_16295.yaml,11700.625,6,997,4038,0.0003,0.01,0.3,0.99,8,3,442,0.999,0.5,122,3131,5,50000,15.062237762237775,45.9,158.40537587412587,164.8203125,279.71678321678337,303.4,563.4520050262238,581.94140625,71.17773962020874
run_1766747695,sample_16296.yaml,11700.625,6,814,2068,0.0003,0.01,0.3,0.99,4,4,502,0.999,0.5,44,2672,5,50000,17.190909090909113,61.8,158.9540127840909,161.3125,292.6787878787883,301.4,569.776308001894,589.16015625,65.66075706481934
run_1766747754,sample_16297.yaml,11700.625,6,693,12418,0.0003,0.01,0.3,0.99,5,2,383,0.999,0.5,71,2579,5,50000,21.13425925925928,61.9,159.44343171296296,167.25390625,267.50925925925935,301.7,534.6944444444445,559.296875,53.656614780426025
run_1766747808,sample_16298.yaml,11700.625,6,189,12540,0.0003,0.01,0.3,0.99,2,3,493,0.999,0.5,108,3513,5,50000,23.119000000000025,69.8,157.1300390625,165.40234375,278.20800000000014,301.4,541.4341796875,567.796875,49.617724895477295
run_1766747888,sample_16299.yaml,11700.625,6,586,9596,0.0003,0.01,0.3,0.99,6,4,469,0.999,0.5,115,1499,5,50000,14.75629139072849,75.8,156.60580504966887,159.3203125,276.84172185430504,302.9,571.7927617963576,589.46484375,75.1881217956543
run_1766747959,sample_16300.yaml,11700.625,6,517,6161,0.0003,0.01,0.3,0.99,8,4,174,0.999,0.5,92,3683,5,50000,17.65833333333335,45.9,158.09215198863637,161.35546875,270.2325757575758,303.1,524.1379320549242,536.4609375,65.6833143234253
run_1766748026,sample_16301.yaml,11700.625,6,720,13923,0.0003,0.01,0.3,0.99,9,1,390,0.999,0.5,92,1513,5,50000,20.275396825396847,87.9,159.660404265873,162.89453125,251.75079365079384,303.4,533.1705729166666,553.34765625,62.665812969207764
run_1766748077,sample_16302.yaml,11700.625,6,804,14095,0.0003,0.01,0.3,0.99,4,4,101,0.999,0.5,67,3903,5,50000,24.033695652173936,53.9,154.90675951086956,163.66015625,264.6304347826087,302.7,532.6434697690217,551.6953125,45.626022815704346
run_1766748135,sample_16303.yaml,11700.625,6,197,16003,0.0003,0.01,0.3,0.99,5,3,94,0.999,0.5,100,1882,5,50000,20.36851851851854,43.9,157.06459780092592,166.0859375,265.38425925925947,301.4,529.6077835648148,544.140625,53.63301372528076
run_1766748202,sample_16304.yaml,11700.625,6,614,7877,0.0003,0.01,0.3,0.99,8,3,257,0.999,0.5,120,4973,5,50000,17.489516129032275,49.9,157.2060546875,164.1796875,266.358870967742,301.4,538.0026461693549,552.37890625,61.64909791946411
run_1766748257,sample_16305.yaml,11700.625,6,159,13436,0.0003,0.01,0.3,0.99,4,1,344,0.999,0.5,124,3534,5,50000,21.758585858585874,47.9,158.71113478535352,160.953125,269.7575757575758,301.7,528.4208096590909,545.015625,49.13120770454407
run_1766748315,sample_16306.yaml,11700.625,6,387,16246,0.0003,0.01,0.3,0.99,5,4,281,0.999,0.5,38,1941,5,50000,20.304629629629652,61.9,158.8369140625,161.02734375,271.56944444444446,303.4,542.2594401041666,562.5234375,53.64108324050903
run_1766748367,sample_16307.yaml,11700.625,6,1006,10229,0.0003,0.01,0.3,0.99,4,1,507,0.999,0.5,58,3104,5,50000,22.709677419354865,47.9,155.10059643817203,164.1015625,269.27956989247315,301.6,528.927965389785,550.73046875,46.10842752456665
run_1766748425,sample_16308.yaml,11700.625,6,666,11960,0.0003,0.01,0.3,0.99,8,3,152,0.999,0.5,58,3770,5,50000,20.23888888888891,63.8,159.35420283564815,168.00390625,259.06666666666683,301.4,530.7997685185185,552.0546875,53.62446594238281
run_1766748481,sample_16309.yaml,11700.625,6,987,16016,0.0003,0.01,0.3,0.99,6,2,191,0.999,0.5,84,549,5,50000,19.831730769230788,43.9,157.58049128605768,165.62890625,257.4836538461538,301.5,541.9299128605769,569.7890625,51.632057666778564
run_1766748547,sample_16310.yaml,11700.625,6,636,6694,0.0003,0.01,0.3,0.99,10,1,222,0.999,0.5,33,2833,5,50000,16.973170731707334,41.9,159.74517276422765,163.15234375,270.5528455284554,303.4,508.4201600609756,519.8359375,61.16564154624939
run_1766748613,sample_16311.yaml,11700.625,6,728,16083,0.0003,0.01,0.3,0.99,9,3,221,0.999,0.5,70,1123,5,50000,19.6138211382114,67.8,157.1435149898374,159.1015625,259.57398373983756,301.4,547.3615027947154,565.390625,61.1487557888031
run_1766748668,sample_16312.yaml,11700.625,6,462,8832,0.0003,0.01,0.3,0.99,6,2,127,0.999,0.5,113,1415,5,50000,22.236000000000022,75.8,156.7411328125,159.11328125,267.597,303.3,516.5240234375,527.1015625,49.62510848045349
run_1766748746,sample_16313.yaml,11700.625,6,500,11343,0.0003,0.01,0.3,0.99,9,3,376,0.999,0.5,111,2661,5,50000,15.16438356164385,67.8,155.63093964041096,157.359375,266.3205479452056,301.6,551.873153895548,569.609375,72.67692399024963
run_1766748812,sample_16314.yaml,11700.625,6,705,10056,0.0003,0.01,0.3,0.99,8,3,227,0.999,0.5,75,2556,5,50000,17.10894308943091,73.9,157.8935467479675,160.99609375,265.2853658536586,301.4,535.9767212906504,550.42578125,61.15346431732178
run_1766748857,sample_16315.yaml,11700.625,6,378,14559,0.0003,0.01,0.3,0.99,2,3,193,0.999,0.5,104,2073,5,50000,25.933333333333355,55.8,154.35040509259258,164.98828125,271.6024691358024,301.6,530.6962287808642,556.44140625,40.0927357673645
run_1766748939,sample_16316.yaml,11700.625,6,690,12492,0.0003,0.01,0.3,0.99,9,3,421,0.999,0.5,87,948,5,50000,14.16103896103897,49.9,156.61657873376623,165.1953125,267.823376623377,302.3,560.0086749188312,580.7265625,76.68729829788208
run_1766748986,sample_16317.yaml,11700.625,6,638,12735,0.0003,0.01,0.3,0.99,3,2,82,0.999,0.5,25,4584,5,50000,25.15647058823532,47.9,152.64595588235295,163.66015625,271.14823529411757,301.4,517.7250459558824,543.203125,42.12491726875305
run_1766749026,sample_16318.yaml,11700.625,6,702,11861,0.0003,0.01,0.3,0.99,1,2,274,0.999,0.5,57,3828,5,50000,28.97083333333336,43.9,152.05202907986111,163.4609375,279.7166666666666,301.5,526.9024522569445,555.8359375,35.585391998291016
run_1766749093,sample_16319.yaml,11700.625,6,257,14113,0.0003,0.01,0.3,0.99,7,4,94,0.999,0.5,23,4194,5,50000,17.006400000000017,47.9,159.85471875,167.30078125,261.4680000000001,303.4,519.2851875,534.984375,62.15488839149475
run_1766749151,sample_16320.yaml,11700.625,6,414,10990,0.0003,0.01,0.3,0.99,3,3,474,0.999,0.5,89,4913,5,50000,20.50934579439254,45.9,159.02164865654206,167.40625,279.7897196261684,301.5,544.3915376752336,562.86328125,53.12373900413513
run_1766749227,sample_16321.yaml,11700.625,6,135,11500,0.0003,0.01,0.3,0.99,9,1,178,0.999,0.5,54,4014,5,50000,15.277777777777793,69.8,160.11813693576389,164.1796875,261.01041666666674,301.7,515.0206705729166,535.875,71.67606568336487
run_1766749289,sample_16322.yaml,11700.625,6,834,12483,0.0003,0.01,0.3,0.99,7,3,217,0.999,0.5,93,3382,5,50000,18.813157894736857,49.9,154.61890076754386,159.48046875,260.6078947368422,301.4,537.355742872807,560.93359375,56.63796377182007
run_1766749334,sample_16323.yaml,11700.625,6,847,16083,0.0003,0.01,0.3,0.99,5,1,99,0.999,0.5,60,3770,5,50000,26.21585365853661,73.8,156.20955602134146,159.17578125,264.53536585365856,301.5,531.0703125,549.07421875,40.59763836860657
run_1766749385,sample_16324.yaml,11700.625,6,772,12203,0.0003,0.01,0.3,0.99,3,3,428,0.999,0.5,118,1261,5,50000,22.895652173913064,45.9,156.6246178668478,161.9609375,275.6717391304347,301.5,559.1787533967391,586.0,45.61199927330017
run_1766749458,sample_16325.yaml,11700.625,6,445,6937,0.0003,0.01,0.3,0.99,6,3,468,0.999,0.5,47,2745,5,50000,15.256934306569361,57.9,156.0840556569343,165.32421875,277.9080291970805,302.4,534.5052748631387,550.4765625,68.16491889953613
