run_id,config_name,total_ram_mb,cpu_cores,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,num_layers,hidden_units,gamma,strength,time_horizon,summary_freq,keep_checkpoints,max_steps,cpu_avg_unity,cpu_peak_unity,ram_avg_unity,ram_peak_unity,cpu_avg_python,cpu_peak_python,ram_avg_python,ram_peak_python,duration_sec
run_1766786001,sample_16912.yaml,11700.625,6,436,15729,0.0003,0.01,0.3,0.99,2,3,344,0.999,0.5,65,2370,5,50000,25.895121951219537,49.8,154.63548018292684,164.8359375,277.629268292683,301.6,541.9081554878048,572.078125,40.60641074180603
run_1766786065,sample_16913.yaml,11700.625,6,387,16014,0.0003,0.01,0.3,0.99,9,3,200,0.999,0.5,99,4737,5,50000,18.626271186440697,65.8,157.1634997351695,159.10546875,258.65508474576274,302.6,540.8608646716102,557.49609375,58.64653134346008
run_1766786140,sample_16914.yaml,11700.625,6,522,11653,0.0003,0.01,0.3,0.99,9,2,442,0.999,0.5,81,4525,5,50000,15.390070921985828,51.9,154.69071365248226,163.796875,263.1070921985817,303.0,540.1844802748227,562.00390625,70.16914892196655
run_1766786186,sample_16915.yaml,11700.625,6,578,9432,0.0003,0.01,0.3,0.99,4,1,380,0.999,0.5,107,2732,5,50000,24.97976190476193,43.9,156.65504092261904,161.234375,272.05714285714294,301.7,519.0170665922619,534.46875,41.60239553451538
run_1766786244,sample_16916.yaml,11700.625,6,499,8470,0.0003,0.01,0.3,0.99,6,3,167,0.999,0.5,44,1213,5,50000,19.662264150943415,45.9,159.16317806603774,167.47265625,273.6009433962266,301.5,518.8026975235849,527.53515625,52.62602996826172
run_1766786302,sample_16917.yaml,11700.625,6,285,15358,0.0003,0.01,0.3,0.99,8,2,188,0.999,0.5,53,2326,5,50000,19.904716981132093,51.9,157.46060583726415,168.05078125,257.2188679245284,301.9,528.2362912735849,542.9296875,52.6318781375885
run_1766786380,sample_16918.yaml,11700.625,6,817,16065,0.0003,0.01,0.3,0.99,9,3,479,0.999,0.5,38,3786,5,50000,14.077027027027043,39.9,154.71035684121622,162.234375,270.6060810810812,303.2,579.8064822635135,601.48046875,73.68384838104248
run_1766786424,sample_16919.yaml,11700.625,6,873,2001,0.0003,0.01,0.3,0.99,2,3,194,0.999,0.5,124,1706,5,50000,28.184810126582313,65.9,156.19021954113924,161.05859375,288.05063291139226,302.6,517.3173457278481,529.87890625,39.12020230293274
run_1766786497,sample_16920.yaml,11700.625,6,193,7426,0.0003,0.01,0.3,0.99,9,2,241,0.999,0.5,65,4978,5,50000,15.239416058394172,45.9,158.37745209854015,166.35546875,272.0167883211681,301.6,518.2032960766423,535.91015625,68.17774176597595
run_1766786551,sample_16921.yaml,11700.625,6,638,7547,0.0003,0.01,0.3,0.99,5,3,89,0.999,0.5,79,3964,5,50000,23.614583333333353,89.8,156.273193359375,159.0078125,268.9437500000001,301.4,507.3546956380208,519.29296875,47.62196063995361
run_1766786595,sample_16922.yaml,11700.625,6,402,12892,0.0003,0.01,0.3,0.99,2,1,449,0.999,0.5,93,1647,5,50000,27.368354430379767,43.9,156.29420490506328,164.63671875,275.21012658227835,303.4,528.3053797468355,552.140625,39.09774994850159
run_1766786651,sample_16923.yaml,11700.625,6,590,13504,0.0003,0.01,0.3,0.99,4,2,411,0.999,0.5,79,2014,5,50000,20.95242718446604,45.9,157.49927942961165,166.8671875,271.18737864077667,301.4,537.9522148058253,564.78515625,51.12948489189148
run_1766786691,sample_16924.yaml,11700.625,6,477,15430,0.0003,0.01,0.3,0.99,1,1,362,0.999,0.5,88,4199,5,50000,29.169444444444473,47.9,155.87261284722223,161.12890625,279.1972222222221,301.4,531.0626627604166,549.609375,35.58885097503662
run_1766786753,sample_16925.yaml,11700.625,6,174,13891,0.0003,0.01,0.3,0.99,3,3,463,0.999,0.5,34,3498,5,50000,19.678260869565243,75.8,155.83542798913044,159.1484375,279.01478260869584,303.1,539.0005095108696,555.4375,57.146437883377075
run_1766786819,sample_16926.yaml,11700.625,6,621,7791,0.0003,0.01,0.3,0.99,4,3,491,0.999,0.5,79,589,5,50000,17.542276422764246,43.9,153.82021722560975,156.87890625,277.6951219512197,302.5,556.3752858231708,574.0234375,61.15526103973389
run_1766786883,sample_16927.yaml,11700.625,6,542,7157,0.0003,0.01,0.3,0.99,8,2,221,0.999,0.5,125,2855,5,50000,18.60336134453783,73.8,156.98302914915968,158.94921875,270.38823529411775,301.4,515.6206013655462,524.96484375,59.15315365791321
run_1766786922,sample_16928.yaml,11700.625,6,441,12436,0.0003,0.01,0.3,0.99,1,3,80,0.999,0.5,44,981,5,50000,31.173529411764736,57.7,157.62281709558823,161.05859375,278.5985294117646,301.9,516.4586971507352,534.3125,33.583746671676636
run_1766786997,sample_16929.yaml,11700.625,6,407,9211,0.0003,0.01,0.3,0.99,9,3,222,0.999,0.5,59,628,5,50000,15.544680851063845,59.9,157.31092087765958,159.24609375,268.3872340425534,303.4,520.1490192819149,530.1015625,70.17389249801636
run_1766787038,sample_16930.yaml,11700.625,6,241,7274,0.0003,0.01,0.3,0.99,1,1,219,0.999,0.5,98,1346,5,50000,30.545205479452083,59.9,157.7749892979452,167.32421875,278.00273972602713,303.3,510.2289704623288,534.6953125,36.09540152549744
